Bike Names,Brand,Price (Rs),Engine Displacement,Max power PS,Max power RPM,Max Torque By Nm,Max Torque RPM,Kerb Weight mm,Seat Height mm,Ground Clearance mm,Fuel Tank Litre,Wheel Base mm,Front Brake Type,Rear Brake Type,ABS,Front Tyres Size width in mm,Front Tyres Ratio in percentage,Rear Tyres Size width in mm,Rear Tyres Ratio in percentage,Bike Type,Terrain Match,Purpose Match,User Type Match,Ergonomic,Functional,Safety,Value,Preference,Total Score,Seat Diff (cm),Seat Fit Category,Weight Category
CFMoto 450NK,CFMoto,1049900,449.5,50.0,9500,39.0,7600,173.0,795,192,14.0,1370,Disc,Disc,Dual,110,70,150,60,Naked Sport,0,0,0,24.894444444444446,61.85916666666665,20,2.2736363636363635,0,29.253446969696967,714.0,,Heavy (Experienced)
KTM 390 Duke,KTM,949900,398.63,45.0,8500,39.0,6500,171.0,805,151,15.0,1357,Disc,Disc,Dual,110,70,150,60,Naked Sport,0,0,0,25.283333333333335,57.14574999999999,20,3.1827272727272726,0,28.046997727272725,724.0,,Heavy (Experienced)
KTM 250 Duke,KTM,714900,248.8,31.0,9250,25.0,7250,165.0,805,185,15.0,1358,Disc,Disc,Dual,110,70,150,60,Naked Sport,0,0,0,26.450000000000003,48.32666666666666,20,5.319090909090908,0,25.964909090909092,724.0,,Heavy (Experienced)
Gixxer 250,Suzuki,579900,249.0,26.5,9300,22.2,7300,156.0,800,165,12.0,1340,Disc,Disc,Dual,110,70,150,60,Naked Sport,0,0,0,28.2,45.36966666666667,20,6.546363636363637,0,25.725536363636362,719.0,,Heavy (Experienced)
CFMoto 300NK,CFMoto,654900,242.4,30.0,8750,20.0,7200,158.0,795,150,12.5,1360,Disc,Disc,Dual,110,70,140,60,Naked Sport,0,0,0,27.81111111111111,44.86,20,5.864545454545454,0,25.38778787878788,714.0,,Heavy (Experienced)
CFMoto 250NK,CFMoto,549900,249.0,26.5,9200,22.0,7300,160.0,795,150,12.5,1360,Disc,Disc,Dual,110,70,140,60,Naked Sport,0,0,0,27.422222222222224,44.92166666666667,20,6.819090909090909,0,25.38507575757576,714.0,,Heavy (Experienced)
302S,Benelli,1049900,300.0,38.07,11000,25.6,9750,204.0,795,140,16.0,1410,Disc,Disc,Dual,120,70,160,60,Naked Sport,0,0,0,18.866666666666667,53.14483333333333,20,2.2736363636363635,0,24.830813636363636,714.0,,Heavy (Experienced)
KTM 200 Duke,KTM,599900,199.5,25.0,10000,19.3,8000,159.0,810,155,13.5,1366,Disc,Disc,Single,110,70,150,60,Naked Sport,0,0,0,27.616666666666667,44.04116666666667,15,6.364545454545453,0,24.383804545454545,729.0,,Heavy (Experienced)
RTR 200 4V ABS,TVS,393900,197.75,20.5,8500,18.1,7000,152.0,800,180,12.0,1353,Disc,Disc,Single,90,90,130,70,Naked Sport,0,0,0,28.977777777777774,41.59441666666666,15,8.237272727272728,0,24.2453856060606,719.0,,Heavy (Experienced)
TNT 150i,Benelli,379900,150.0,13.32,9000,12.0,7000,134.0,780,190,13.5,1360,Disc,Disc,Single,100,80,130,70,Naked Sport,0,0,0,32.477777777777774,37.968333333333334,15,8.364545454545455,0,24.22028787878788,699.0,,Heavy (Experienced)
